id,title,authors,venue,year,text
51383,openvocabularyspeech indexingforvoiceandvideomailretrieval,"mg brown , jt foote , gjf jones , ks jones , sj young",proc . acm,,"COL title VAL openvocabularyspeech indexingforvoiceandvideomailretrieval COL authors VAL mg brown , jt foote , gjf jones , ks jones , sj young COL venue VAL proc . acm COL year VAL "
51384,a time bound on the matenahzatlon of some recursively defined views,y ioanntdes,"proc of the 11th conf on vldb ,",,"COL title VAL a time bound on the matenahzatlon of some recursively defined views COL authors VAL y ioanntdes COL venue VAL proc of the 11th conf on vldb , COL year VAL "
51385,introduction and overview : from classroom assessment to classroom research .,ta angelo,"new directions for teaching and learning ,",1991.0,"COL title VAL introduction and overview : from classroom assessment to classroom research . COL authors VAL ta angelo COL venue VAL new directions for teaching and learning , COL year VAL 1991.0"
51386,microsoft excel 97 visual basic : step by step .,r jacobson,,1997.0,COL title VAL microsoft excel 97 visual basic : step by step . COL authors VAL r jacobson COL venue VAL  COL year VAL 1997.0
51387,an empirical view of inheritance,m cartwright,,,COL title VAL an empirical view of inheritance COL authors VAL m cartwright COL venue VAL  COL year VAL 
51388,an adaptive local deconvolution method for implicit les,"s hickel , na adams , ja domaradzki",,,"COL title VAL an adaptive local deconvolution method for implicit les COL authors VAL s hickel , na adams , ja domaradzki COL venue VAL  COL year VAL "
51389,application of frequency and risk in water resources,vp singh,"d. reidel . dordrecht , proceedings of the international",,"COL title VAL application of frequency and risk in water resources COL authors VAL vp singh COL venue VAL d. reidel . dordrecht , proceedings of the international COL year VAL "
51390,personalised risk communication in health screening programs,"a edwards , s unigwe , g elwyn , k hood","cochrane database syst rev ,",,"COL title VAL personalised risk communication in health screening programs COL authors VAL a edwards , s unigwe , g elwyn , k hood COL venue VAL cochrane database syst rev , COL year VAL "
51391,signaled receiver processing,"j brustoloni , e gabber , a silberschatz , a singhâ ? ¦",submitted for,,"COL title VAL signaled receiver processing COL authors VAL j brustoloni , e gabber , a silberschatz , a singhâ ? ¦ COL venue VAL submitted for COL year VAL "
51392,the decomposition versus synthetic approach to relational database design,r fagin,"vldb ,",,"COL title VAL the decomposition versus synthetic approach to relational database design COL authors VAL r fagin COL venue VAL vldb , COL year VAL "
51393,site characteristics of debris flows and their relationship to alpine treeline,"dr butler , sj walsh","physical geography ,",,"COL title VAL site characteristics of debris flows and their relationship to alpine treeline COL authors VAL dr butler , sj walsh COL venue VAL physical geography , COL year VAL "
51394,concurrency and recovery in gist,"m kornacker , c mohan , j hellerstein",proc . acm sigmod int . conf . on management of,,"COL title VAL concurrency and recovery in gist COL authors VAL m kornacker , c mohan , j hellerstein COL venue VAL proc . acm sigmod int . conf . on management of COL year VAL "
51395,w and smith pl 1953,rw hill,"phil . mag ,",,"COL title VAL w and smith pl 1953 COL authors VAL rw hill COL venue VAL phil . mag , COL year VAL "
51396,cyclical progestogens for heavy menstrual bleeding,"a lethaby , g irvine , i cameron","cochrane database syst rev ,",2000.0,"COL title VAL cyclical progestogens for heavy menstrual bleeding COL authors VAL a lethaby , g irvine , i cameron COL venue VAL cochrane database syst rev , COL year VAL 2000.0"
51397,acquiring and implementing erp : the view from business and academia,"t veth , ml markus , aw scheer , k kumar , h wortmann","proceedings of the international conference on information & hellip ; ,",1998.0,"COL title VAL acquiring and implementing erp : the view from business and academia COL authors VAL t veth , ml markus , aw scheer , k kumar , h wortmann COL venue VAL proceedings of the international conference on information & hellip ; , COL year VAL 1998.0"
51398,the development of the general purpose simulation system ( gpss ),g gordon,"history of programming languages ,",1981.0,"COL title VAL the development of the general purpose simulation system ( gpss ) COL authors VAL g gordon COL venue VAL history of programming languages , COL year VAL 1981.0"
51399,biosynthesis of saturated fatty acids,f lynen,"fed . proc ,",1961.0,"COL title VAL biosynthesis of saturated fatty acids COL authors VAL f lynen COL venue VAL fed . proc , COL year VAL 1961.0"
51400,on the selection of access paths in a data base system,h wedekind,"ifip working conference data base management ,",,"COL title VAL on the selection of access paths in a data base system COL authors VAL h wedekind COL venue VAL ifip working conference data base management , COL year VAL "
51401,"vulcan-a system for high-level partitioning of synchronous digital systems , ''","rk gupta , gd micheli","csl technical report csl-tr-471 , stanford university , apr. .",,"COL title VAL vulcan-a system for high-level partitioning of synchronous digital systems , '' COL authors VAL rk gupta , gd micheli COL venue VAL csl technical report csl-tr-471 , stanford university , apr. . COL year VAL "
51402,evaluation and quality control in certificate programs,ml walshok,"new directions for adult and continuing education ,",1991.0,"COL title VAL evaluation and quality control in certificate programs COL authors VAL ml walshok COL venue VAL new directions for adult and continuing education , COL year VAL 1991.0"
51403,clientserver paradise . 1994,"dj dewitt , n kabra , jmp junluo , jb yu","santiago ,",,"COL title VAL clientserver paradise . 1994 COL authors VAL dj dewitt , n kabra , jmp junluo , jb yu COL venue VAL santiago , COL year VAL "
51404,"maintaining data privacy in association rule mining , in ' 28th international conference on very large","sj rizvi , jr haritsa","hong kong , china ,",,"COL title VAL maintaining data privacy in association rule mining , in ' 28th international conference on very large COL authors VAL sj rizvi , jr haritsa COL venue VAL hong kong , china , COL year VAL "
51405,experiences in developing a small application using a dsdm approach,"k hung , p linecar","software quality management-international conference - ,",1997.0,"COL title VAL experiences in developing a small application using a dsdm approach COL authors VAL k hung , p linecar COL venue VAL software quality management-international conference - , COL year VAL 1997.0"
51406,detecting similarity by apllying learning over indicators,"e eskin , j klavans , v hatzivassiloglou",,,"COL title VAL detecting similarity by apllying learning over indicators COL authors VAL e eskin , j klavans , v hatzivassiloglou COL venue VAL  COL year VAL "
51407,experience with the hemophiliac child in a pediatric emergency department,"lm morgan , n kissoon , bl de vebber","journal of emergency medicine ,",1993.0,"COL title VAL experience with the hemophiliac child in a pediatric emergency department COL authors VAL lm morgan , n kissoon , bl de vebber COL venue VAL journal of emergency medicine , COL year VAL 1993.0"
51408,production and characterization of monoclonal antibodies directed against connective tissue,"b caterson , je christner , jr baker , jr couchman","fed proc ,",1985.0,"COL title VAL production and characterization of monoclonal antibodies directed against connective tissue COL authors VAL b caterson , je christner , jr baker , jr couchman COL venue VAL fed proc , COL year VAL 1985.0"
51409,"staining procedures , 4th ed . williams and wilkins , baltimore",g clark,"md ,",,"COL title VAL staining procedures , 4th ed . williams and wilkins , baltimore COL authors VAL g clark COL venue VAL md , COL year VAL "
51410,a categorization of multiscale-decomposition-based image fusion schemes with a performance study for,"z zhang , rs blum","proceedings-ieee ,",1999.0,"COL title VAL a categorization of multiscale-decomposition-based image fusion schemes with a performance study for COL authors VAL z zhang , rs blum COL venue VAL proceedings-ieee , COL year VAL 1999.0"
51411,the costs and consequences of quality at the air force academy : a professor 's perspective .,db porter,"new directions for higher education ,",1994.0,"COL title VAL the costs and consequences of quality at the air force academy : a professor 's perspective . COL authors VAL db porter COL venue VAL new directions for higher education , COL year VAL 1994.0"
51412,on the move : the mobility/social capital dynamic in the achievement gap between mexican-american and,rk ream,,2001.0,COL title VAL on the move : the mobility/social capital dynamic in the achievement gap between mexican-american and COL authors VAL rk ream COL venue VAL  COL year VAL 2001.0
51413,internet : the undiscovered country,a kantor,"pc magazine ,",,"COL title VAL internet : the undiscovered country COL authors VAL a kantor COL venue VAL pc magazine , COL year VAL "
51414,"fty720 , a novel transplantation drug , modulates lymphocyte migratory responses to chemokines","s chen , kb bacon , g garcia , r liao , zk pan , sk","transplantation proceedings ,",2001.0,"COL title VAL fty720 , a novel transplantation drug , modulates lymphocyte migratory responses to chemokines COL authors VAL s chen , kb bacon , g garcia , r liao , zk pan , sk COL venue VAL transplantation proceedings , COL year VAL 2001.0"
51415,growth phase coupled modulation of escherichia coli ribosomes,a wada,"genes to cells ,",1998.0,"COL title VAL growth phase coupled modulation of escherichia coli ribosomes COL authors VAL a wada COL venue VAL genes to cells , COL year VAL 1998.0"
51416,"access to data in nasaâ ?? s earth observing system , '' keynote address",j dozier,"proc . acm sigmod int . conf . management of data , san diego ,",,"COL title VAL access to data in nasaâ ?? s earth observing system , '' keynote address COL authors VAL j dozier COL venue VAL proc . acm sigmod int . conf . management of data , san diego , COL year VAL "
51417,template-based wrappers in the tsimmis system ( system demonstration ),"j hammer , h garcia-molina , s nestorov , r yerneni ,","proc . of acm sigmod conf . on management of data , tucson , & hellip ; ,",,"COL title VAL template-based wrappers in the tsimmis system ( system demonstration ) COL authors VAL j hammer , h garcia-molina , s nestorov , r yerneni , COL venue VAL proc . of acm sigmod conf . on management of data , tucson , & hellip ; , COL year VAL "
51418,multiplicity of transcription factors of the fnr family in denitrifying pseudomonas stutzeri :,"ku vollack , e hã $ rtig , h kã ¶ rner , wg zumft",submitted for,,"COL title VAL multiplicity of transcription factors of the fnr family in denitrifying pseudomonas stutzeri : COL authors VAL ku vollack , e hã $ rtig , h kã ¶ rner , wg zumft COL venue VAL submitted for COL year VAL "
51419,"broadcast disks : data management for asymmetric communication environments , university of maryland","s acharya , r alonso , m franklin , s zdonik","md ,",,"COL title VAL broadcast disks : data management for asymmetric communication environments , university of maryland COL authors VAL s acharya , r alonso , m franklin , s zdonik COL venue VAL md , COL year VAL "
51420,clomiphene citrate for ovulation induction in women with oligo-amenorrhoea,"e hughes , j collins , p vandekerckhove","cochrane database syst rev ,",2000.0,"COL title VAL clomiphene citrate for ovulation induction in women with oligo-amenorrhoea COL authors VAL e hughes , j collins , p vandekerckhove COL venue VAL cochrane database syst rev , COL year VAL 2000.0"
51421,influence of a boron screen on the sensitivity of neutron fission chambers,"ya kashchuk , vv frunze",at .,,"COL title VAL influence of a boron screen on the sensitivity of neutron fission chambers COL authors VAL ya kashchuk , vv frunze COL venue VAL at . COL year VAL "
51422,whatever happened to object-oriented databases ?,n leavitt,,,COL title VAL whatever happened to object-oriented databases ? COL authors VAL n leavitt COL venue VAL  COL year VAL 
51423,"g. devries , on the change of form of long waves advancing in a rectangular canal , and on a new type",dj korteweg,"phil . mag ,",,"COL title VAL g. devries , on the change of form of long waves advancing in a rectangular canal , and on a new type COL authors VAL dj korteweg COL venue VAL phil . mag , COL year VAL "
51424,extended analysis of internal quantum efficiency,pa basore,"proceedings of the 23rd photovoltaic specialists conference , & hellip ; ,",,"COL title VAL extended analysis of internal quantum efficiency COL authors VAL pa basore COL venue VAL proceedings of the 23rd photovoltaic specialists conference , & hellip ; , COL year VAL "
51425,microsoft sharepoint products and technologies resource kit,b english,,2004.0,COL title VAL microsoft sharepoint products and technologies resource kit COL authors VAL b english COL venue VAL  COL year VAL 2004.0
51426,performance analysis of downlink shared channels in a umts network,"r litjens , rj boucherie",,,"COL title VAL performance analysis of downlink shared channels in a umts network COL authors VAL r litjens , rj boucherie COL venue VAL  COL year VAL "
51427,the politics of hydropower : developing the mekong,k bakker,"political geography ,",1999.0,"COL title VAL the politics of hydropower : developing the mekong COL authors VAL k bakker COL venue VAL political geography , COL year VAL 1999.0"
51428,a pedagogy for citizenship : service learning and democratic education,m mendel-reyes,"new directions for teaching and learning ,",1998.0,"COL title VAL a pedagogy for citizenship : service learning and democratic education COL authors VAL m mendel-reyes COL venue VAL new directions for teaching and learning , COL year VAL 1998.0"
51429,processingâ ?? hot spotsâ ?? in high performance systems,d gawlick,"proceedings compcon ,",,"COL title VAL processingâ ?? hot spotsâ ?? in high performance systems COL authors VAL d gawlick COL venue VAL proceedings compcon , COL year VAL "
51430,the structure and dynamics of the polar mesosphere investigated with the eiscat radar systems (,j roettger,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,"COL title VAL the structure and dynamics of the polar mesosphere investigated with the eiscat radar systems ( COL authors VAL j roettger COL venue VAL oulu univ , proceedings of the 25 th annual conference of the & hellip ; , COL year VAL 1991.0"
51431,starburst rule system userâ ?? s guide,j widom,"internal technical report , ibm almaden research center , san jose",,"COL title VAL starburst rule system userâ ?? s guide COL authors VAL j widom COL venue VAL internal technical report , ibm almaden research center , san jose COL year VAL "
51432,probability misjudgement and belief in the paranormal : is the theory all wrong,s blackmore,"d. bierman ( ed . ) , proceedings of the 37 thannual convention & hellip ; ,",,"COL title VAL probability misjudgement and belief in the paranormal : is the theory all wrong COL authors VAL s blackmore COL venue VAL d. bierman ( ed . ) , proceedings of the 37 thannual convention & hellip ; , COL year VAL "
51433,historical queries along multiple lines of time evolution,"gm landau , jp schmidt , vj tsotras","the vldb journal the international journal on very large & hellip ; ,",1995.0,"COL title VAL historical queries along multiple lines of time evolution COL authors VAL gm landau , jp schmidt , vj tsotras COL venue VAL the vldb journal the international journal on very large & hellip ; , COL year VAL 1995.0"
51434,funktion des golgi-apparates in pflanzlichen und tierischen zellen,a sievers,"see ref ,",,"COL title VAL funktion des golgi-apparates in pflanzlichen und tierischen zellen COL authors VAL a sievers COL venue VAL see ref , COL year VAL "
51435,the temporal properties of spoken japanese are similar to those of english,"t arai , s greenberg","proceedings of eurospeech ,",1997.0,"COL title VAL the temporal properties of spoken japanese are similar to those of english COL authors VAL t arai , s greenberg COL venue VAL proceedings of eurospeech , COL year VAL 1997.0"
51436,instrumentation for the determination of aircraft performance from dynamic maneuvers,h pouwels,"& hellip ; , 25 th , anaheim , calif , proceedings . part 2 , research & hellip ; ,",1979.0,"COL title VAL instrumentation for the determination of aircraft performance from dynamic maneuvers COL authors VAL h pouwels COL venue VAL & hellip ; , 25 th , anaheim , calif , proceedings . part 2 , research & hellip ; , COL year VAL 1979.0"
51437,student development : does participation affect growth ? .,aa hood,"acu-i bulletin ,",1984.0,"COL title VAL student development : does participation affect growth ? . COL authors VAL aa hood COL venue VAL acu-i bulletin , COL year VAL 1984.0"
51438,nmr pulse responses of pairs of triads of 1/2 spins in solids ( abstract only ),"a vuorimaki , m punkkinen","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,"COL title VAL nmr pulse responses of pairs of triads of 1/2 spins in solids ( abstract only ) COL authors VAL a vuorimaki , m punkkinen COL venue VAL oulu univ , proceedings of the 25 th annual conference of the & hellip ; , COL year VAL 1991.0"
51439,isolation from gastric epithelium of campylobacter-like bacteria that are distinct from '',"g kasper , n dickgiesser","lancet , i ,",1985.0,"COL title VAL isolation from gastric epithelium of campylobacter-like bacteria that are distinct from '' COL authors VAL g kasper , n dickgiesser COL venue VAL lancet , i , COL year VAL 1985.0"
51440,"r. fâ ? ° ssler , cs tomooka , em carreira",de frantz,"acc . chem . res ,",,"COL title VAL r. fâ ? ° ssler , cs tomooka , em carreira COL authors VAL de frantz COL venue VAL acc . chem . res , COL year VAL "
51441,convexity and almost fixed point properties in graphs : a study of many-valued functions in helly and,"r tsaur , mb smyth",submitted for,,"COL title VAL convexity and almost fixed point properties in graphs : a study of many-valued functions in helly and COL authors VAL r tsaur , mb smyth COL venue VAL submitted for COL year VAL "
51442,the foundations of acoustics : basic mathematics and basic acoustics,ej skudrzyk,,1971.0,COL title VAL the foundations of acoustics : basic mathematics and basic acoustics COL authors VAL ej skudrzyk COL venue VAL  COL year VAL 1971.0
51443,"ieee nuclear science conference record , 2001",s kaneâ ? ¦,,,"COL title VAL ieee nuclear science conference record , 2001 COL authors VAL s kaneâ ? ¦ COL venue VAL  COL year VAL "
51444,group connectivity of triangularly connected graphs,"hj lai , r xu , cq zhang",,,"COL title VAL group connectivity of triangularly connected graphs COL authors VAL hj lai , r xu , cq zhang COL venue VAL  COL year VAL "
51445,fusion energy : status and prospects ( abstract only ),r salomaa,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0,"COL title VAL fusion energy : status and prospects ( abstract only ) COL authors VAL r salomaa COL venue VAL oulu univ , proceedings of the 25 th annual conference of the & hellip ; , COL year VAL 1991.0"
51446,thin is in,"sj yang , j nieh","pc magazine ,",,"COL title VAL thin is in COL authors VAL sj yang , j nieh COL venue VAL pc magazine , COL year VAL "
51447,"biochemical tests for identification of medical bacteria 2nd ada . williams and wilkins , baltimore",jf macfaddin,"md ,",,"COL title VAL biochemical tests for identification of medical bacteria 2nd ada . williams and wilkins , baltimore COL authors VAL jf macfaddin COL venue VAL md , COL year VAL "
51448,combining fuzzy information : an overview,r fagin,"sigmod record ,",2002.0,"COL title VAL combining fuzzy information : an overview COL authors VAL r fagin COL venue VAL sigmod record , COL year VAL 2002.0"
51449,"employee stock ownership plans , firm performance , and monitoring by outside blockholders","s park , mh song",,,"COL title VAL employee stock ownership plans , firm performance , and monitoring by outside blockholders COL authors VAL s park , mh song COL venue VAL  COL year VAL "
51450,a streaming ensemble algorithm for large-scale classification,"n street , y kim",proc . 7th acm,,"COL title VAL a streaming ensemble algorithm for large-scale classification COL authors VAL n street , y kim COL venue VAL proc . 7th acm COL year VAL "
51451,the well rounded student,j king,"computerworld ,",,"COL title VAL the well rounded student COL authors VAL j king COL venue VAL computerworld , COL year VAL "
51452,ontological considerations for designing combinable modules in document analysis and understanding .,"b klein , a abecker",submitted for,,"COL title VAL ontological considerations for designing combinable modules in document analysis and understanding . COL authors VAL b klein , a abecker COL venue VAL submitted for COL year VAL "
51453,starts : stanford proposal for internet meta-searching,"l gravano , cck chang , a paepcke","sigmod rec ,",1997.0,"COL title VAL starts : stanford proposal for internet meta-searching COL authors VAL l gravano , cck chang , a paepcke COL venue VAL sigmod rec , COL year VAL 1997.0"
51454,space-time structures for cellular automata,p pierini,"di gregorio and g. spezzano ( eds . ) , procs . of",,"COL title VAL space-time structures for cellular automata COL authors VAL p pierini COL venue VAL di gregorio and g. spezzano ( eds . ) , procs . of COL year VAL "
51455,cinematographic images of a city . alternative heritage tourism in manchester,p schofield,"tourism management ,",1996.0,"COL title VAL cinematographic images of a city . alternative heritage tourism in manchester COL authors VAL p schofield COL venue VAL tourism management , COL year VAL 1996.0"
51456,optimalnesting forcomputingn-relationaljoins,tit kameda,"acm trans . on database systems ,",,"COL title VAL optimalnesting forcomputingn-relationaljoins COL authors VAL tit kameda COL venue VAL acm trans . on database systems , COL year VAL "
51457,strongly multiplicative graphs,"lw beineke , sm hegde","discussiones mathematicae graph theory ,",2001.0,"COL title VAL strongly multiplicative graphs COL authors VAL lw beineke , sm hegde COL venue VAL discussiones mathematicae graph theory , COL year VAL 2001.0"
51458,"usa , 1999",ca grove,,,"COL title VAL usa , 1999 COL authors VAL ca grove COL venue VAL  COL year VAL "
51459,estimating progress of long-running queries,"s chaudhuri , v narasayya , r ramamurthy",,2004.0,"COL title VAL estimating progress of long-running queries COL authors VAL s chaudhuri , v narasayya , r ramamurthy COL venue VAL  COL year VAL 2004.0"
51460,sia ( m ) : a family of efficient algorithms for translation-invariant pattern matching in,"ga wiggins , k lemstrom , d meredith",,,"COL title VAL sia ( m ) : a family of efficient algorithms for translation-invariant pattern matching in COL authors VAL ga wiggins , k lemstrom , d meredith COL venue VAL  COL year VAL "
51461,new methods and fast algorithms for database normalization,"j diederich , j milton","acm transactions on database systems ,",1988.0,"COL title VAL new methods and fast algorithms for database normalization COL authors VAL j diederich , j milton COL venue VAL acm transactions on database systems , COL year VAL 1988.0"
51462,"differentiating creativity , innovation , entrepreneurship , intrapreneurship , copyrighting and","d couger , l higgins , s mcintyre","proceedings of the 23rd hawaii international conference on & hellip ; ,",,"COL title VAL differentiating creativity , innovation , entrepreneurship , intrapreneurship , copyrighting and COL authors VAL d couger , l higgins , s mcintyre COL venue VAL proceedings of the 23rd hawaii international conference on & hellip ; , COL year VAL "
51463,query processing in the information manifold,"a levy , a rajaraman , j ordille","proc . vldb conference ,",1996.0,"COL title VAL query processing in the information manifold COL authors VAL a levy , a rajaraman , j ordille COL venue VAL proc . vldb conference , COL year VAL 1996.0"
51464,triâ ?? element operation theory,"l xibin , h haiyan , g jun , l xuedong","& hellip ; of the 3rd international conference on management ( icmâ ?? 98 & hellip ; ,",,"COL title VAL triâ ?? element operation theory COL authors VAL l xibin , h haiyan , g jun , l xuedong COL venue VAL & hellip ; of the 3rd international conference on management ( icmâ ?? 98 & hellip ; , COL year VAL "
51465,biosynthesis of phytosterols in trebouxia sp. : steric course of the c-alkylation step,m mihailovic,,1984.0,COL title VAL biosynthesis of phytosterols in trebouxia sp. : steric course of the c-alkylation step COL authors VAL m mihailovic COL venue VAL  COL year VAL 1984.0
51466,the climatic sensitivity of desert margins .,a goudie,"geography ,",1991.0,"COL title VAL the climatic sensitivity of desert margins . COL authors VAL a goudie COL venue VAL geography , COL year VAL 1991.0"
51467,"i-land : an interactive landscape for creativity and innovation , proceedings of the chi ' 99 ,","na streitz , j geiã?ler , tks holmer , c mã 1/4 ller -",,1999.0,"COL title VAL i-land : an interactive landscape for creativity and innovation , proceedings of the chi ' 99 , COL authors VAL na streitz , j geiã?ler , tks holmer , c mã 1/4 ller - COL venue VAL  COL year VAL 1999.0"
51468,on external memory graph traversal,al buchsbaum,,,COL title VAL on external memory graph traversal COL authors VAL al buchsbaum COL venue VAL  COL year VAL 
51469,argument structure and locus of affect in the maasai external possession construction,dl payne,"proceedings of the 23rd annual meeting of the berkeley & hellip ; ,",,"COL title VAL argument structure and locus of affect in the maasai external possession construction COL authors VAL dl payne COL venue VAL proceedings of the 23rd annual meeting of the berkeley & hellip ; , COL year VAL "
51470,the oecumenical patriarchate : the great church of christ,ad paliourasâ ? ¦,,1989.0,COL title VAL the oecumenical patriarchate : the great church of christ COL authors VAL ad paliourasâ ? ¦ COL venue VAL  COL year VAL 1989.0
51471,m. za it . querying shapes of histories,"r agrawal , g psaila , el wimmers","proc . of the 21st int &#39; l conference on very large databases , & hellip ; ,",,"COL title VAL m. za it . querying shapes of histories COL authors VAL r agrawal , g psaila , el wimmers COL venue VAL proc . of the 21st int &#39; l conference on very large databases , & hellip ; , COL year VAL "
51472,systemic fragility in indian banking : harnessing information from the equity market,"a shah , s thomas",,,"COL title VAL systemic fragility in indian banking : harnessing information from the equity market COL authors VAL a shah , s thomas COL venue VAL  COL year VAL "
51473,organohalogen compounds,"t yamamoto , e å?ukaszewicz , y noma , y tabei , m",,2004.0,"COL title VAL organohalogen compounds COL authors VAL t yamamoto , e å?ukaszewicz , y noma , y tabei , m COL venue VAL  COL year VAL 2004.0"
51474,horizontal r & d management,cs kaminski,,,COL title VAL horizontal r & d management COL authors VAL cs kaminski COL venue VAL  COL year VAL 
51475,sharing the wisdom,a laplante,"computerworld ,",,"COL title VAL sharing the wisdom COL authors VAL a laplante COL venue VAL computerworld , COL year VAL "
51476,soil genesis on the 1980 pyroclastic flows of mount st. helens,ww nuhn,,1987.0,COL title VAL soil genesis on the 1980 pyroclastic flows of mount st. helens COL authors VAL ww nuhn COL venue VAL  COL year VAL 1987.0
51477,auditory modeling via frequency warped wavelet transform,"g evangelista , s cavaliere",,,"COL title VAL auditory modeling via frequency warped wavelet transform COL authors VAL g evangelista , s cavaliere COL venue VAL  COL year VAL "
51478,performance tests : file server throughput and response times,o kaven,"pc magazine , november ,",2001.0,"COL title VAL performance tests : file server throughput and response times COL authors VAL o kaven COL venue VAL pc magazine , november , COL year VAL 2001.0"
51479,optimal file distribution for partial match queries,"mh kim , s pramanik",proc . of sigmod conference on management of,,"COL title VAL optimal file distribution for partial match queries COL authors VAL mh kim , s pramanik COL venue VAL proc . of sigmod conference on management of COL year VAL "
51480,cultural differences taught through a regional holiday .,"m allen , d blackwell","social studies and the young learner ,",1993.0,"COL title VAL cultural differences taught through a regional holiday . COL authors VAL m allen , d blackwell COL venue VAL social studies and the young learner , COL year VAL 1993.0"
51481,xml and relational database management systems : the inside story,"m rys , d chamberlin , d florescu","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,"COL title VAL xml and relational database management systems : the inside story COL authors VAL m rys , d chamberlin , d florescu COL venue VAL proceedings of the 2005 acm sigmod international conference & hellip ; , COL year VAL 2005.0"
51482,responses to reduced state funding,"ec phillips , c morell , jl chronister","new directions for higher education ,",1996.0,"COL title VAL responses to reduced state funding COL authors VAL ec phillips , c morell , jl chronister COL venue VAL new directions for higher education , COL year VAL 1996.0"
51483,gradient and mid-point-referred measurements for multichannel 2d resistivity imaging,"t dahlin , b zhou",,,"COL title VAL gradient and mid-point-referred measurements for multichannel 2d resistivity imaging COL authors VAL t dahlin , b zhou COL venue VAL  COL year VAL "
51484,comparison of methods for calculating neutron fluxes in technological channel of the reactor,"yp elagin , as ii ` yashenko , va lyul ` kaâ ? ¦",at .,,"COL title VAL comparison of methods for calculating neutron fluxes in technological channel of the reactor COL authors VAL yp elagin , as ii ` yashenko , va lyul ` kaâ ? ¦ COL venue VAL at . COL year VAL "
51485,functional specifications of subsystem for database integrity,"kp eswaran , dd chamberlin","vldb ,",1975.0,"COL title VAL functional specifications of subsystem for database integrity COL authors VAL kp eswaran , dd chamberlin COL venue VAL vldb , COL year VAL 1975.0"
51486,mining process models from workflow logs,"r agrawal , d gunopulos , f leymann","lecture notes in computer science ,",1998.0,"COL title VAL mining process models from workflow logs COL authors VAL r agrawal , d gunopulos , f leymann COL venue VAL lecture notes in computer science , COL year VAL 1998.0"
51487,the zero-delay data warehouse : mobilizing heterogeneous databases,t ag,,,COL title VAL the zero-delay data warehouse : mobilizing heterogeneous databases COL authors VAL t ag COL venue VAL  COL year VAL 
51488,the dialectic between diasporas and homelands,ep skinner,"see harris ,",,"COL title VAL the dialectic between diasporas and homelands COL authors VAL ep skinner COL venue VAL see harris , COL year VAL "
51489,"02140 , usa , tel : + 1 617 354 5800 , july 1998",ma cambridge,,,"COL title VAL 02140 , usa , tel : + 1 617 354 5800 , july 1998 COL authors VAL ma cambridge COL venue VAL  COL year VAL "
51490,garc a-molina . generalizinggloss tovector-spacedatabasesandbroker hierarchies,l gravanoandh,"proceedings of the 21st international conference on very & hellip ; ,",,"COL title VAL garc a-molina . generalizinggloss tovector-spacedatabasesandbroker hierarchies COL authors VAL l gravanoandh COL venue VAL proceedings of the 21st international conference on very & hellip ; , COL year VAL "
51491,a multiattribute indexing method with good guaranteed performance,"db lomet , b salzberg",acm trans . on database systems,,"COL title VAL a multiattribute indexing method with good guaranteed performance COL authors VAL db lomet , b salzberg COL venue VAL acm trans . on database systems COL year VAL "
51492,"m. ho , \ \ zeroskew clocknet routing , ''","th chao , yc hsu andj","proc . acm/ieee design automation conf ,",,"COL title VAL m. ho , \ \ zeroskew clocknet routing , '' COL authors VAL th chao , yc hsu andj COL venue VAL proc . acm/ieee design automation conf , COL year VAL "
51493,craig knoblock-wrapper generation for semi-structured internet sourcesâ ?? proc,n ashish,"workshop on management of semi-structured data , tucson , & hellip ; ,",,"COL title VAL craig knoblock-wrapper generation for semi-structured internet sourcesâ ?? proc COL authors VAL n ashish COL venue VAL workshop on management of semi-structured data , tucson , & hellip ; , COL year VAL "
51494,"y. , rao , s. , and zhang , h. a case for end system multicast",hua chu,proceedings of acm sigmetricsâ ??,,"COL title VAL y. , rao , s. , and zhang , h. a case for end system multicast COL authors VAL hua chu COL venue VAL proceedings of acm sigmetricsâ ?? COL year VAL "
51495,virtual humans : lessons learned in integrating a large-scale ai project,b swartout,"proceedings of the 20th ieee/acm international conference on & hellip ; ,",2005.0,"COL title VAL virtual humans : lessons learned in integrating a large-scale ai project COL authors VAL b swartout COL venue VAL proceedings of the 20th ieee/acm international conference on & hellip ; , COL year VAL 2005.0"
51496,applying the naã ¯ ve bayes classifier to assist users in detecting speech recognition errors,"l zhou , j feng , a sears , y shi",,,"COL title VAL applying the naã ¯ ve bayes classifier to assist users in detecting speech recognition errors COL authors VAL l zhou , j feng , a sears , y shi COL venue VAL  COL year VAL "
51497,"knowledge portals unify data streams with the help of the ubiquitous web , search-and-retrieval",c frye,"application development trends ,",1999.0,"COL title VAL knowledge portals unify data streams with the help of the ubiquitous web , search-and-retrieval COL authors VAL c frye COL venue VAL application development trends , COL year VAL 1999.0"
51498,credible repeated game equilibrium,j farrell,"unpublished manuscript ,",,"COL title VAL credible repeated game equilibrium COL authors VAL j farrell COL venue VAL unpublished manuscript , COL year VAL "
