id,title,authors,venue,year,text
2360,information gathering in the world-wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli",acm trans . database syst .,1998,"COL title VAL information gathering in the world-wide web : the w3ql query language and the w3qs system COL authors VAL d konopnicki , o shmueli COL venue VAL acm trans . database syst . COL year VAL 1998"
2361,database design for incomplete relations,"m levene , g loizou",acm trans . database syst .,1999,"COL title VAL database design for incomplete relations COL authors VAL m levene , g loizou COL venue VAL acm trans . database syst . COL year VAL 1999"
2362,temporal fds on complex objects,j wijsen,acm trans . database syst .,1999,COL title VAL temporal fds on complex objects COL authors VAL j wijsen COL venue VAL acm trans . database syst . COL year VAL 1999
2363,broadcast protocols to support efficient retrieval from databases by mobile users,"a datta , d vandermeer , a celik , v kumar",acm trans . database syst .,1999,"COL title VAL broadcast protocols to support efficient retrieval from databases by mobile users COL authors VAL a datta , d vandermeer , a celik , v kumar COL venue VAL acm trans . database syst . COL year VAL 1999"
2364,conceptual schema analysis : techniques and applications,"s castano , v antonellis , m fugini , b pernici",acm trans . database syst .,1998,"COL title VAL conceptual schema analysis : techniques and applications COL authors VAL s castano , v antonellis , m fugini , b pernici COL venue VAL acm trans . database syst . COL year VAL 1998"
2365,an access control model supporting periodicity constraints and temporal reasoning,"e bertino , c bettini , e ferrari , p samarati",acm trans . database syst .,1998,"COL title VAL an access control model supporting periodicity constraints and temporal reasoning COL authors VAL e bertino , c bettini , e ferrari , p samarati COL venue VAL acm trans . database syst . COL year VAL 1998"
2366,inverted files versus signature files for text indexing,"j zobel , a moffat , k ramamohanarao",acm trans . database syst .,1998,"COL title VAL inverted files versus signature files for text indexing COL authors VAL j zobel , a moffat , k ramamohanarao COL venue VAL acm trans . database syst . COL year VAL 1998"
2367,towards a theory of cost management for digital libraries and electronic commerce,"a sistla , o wolfson , y yesha , r sloan",acm trans . database syst .,1998,"COL title VAL towards a theory of cost management for digital libraries and electronic commerce COL authors VAL a sistla , o wolfson , y yesha , r sloan COL venue VAL acm trans . database syst . COL year VAL 1998"
2368,indexing large metric spaces for similarity search queries,"t bozkaya , z жzsoyoglu",acm trans . database syst .,1999,"COL title VAL indexing large metric spaces for similarity search queries COL authors VAL t bozkaya , z жzsoyoglu COL venue VAL acm trans . database syst . COL year VAL 1999"
2369,type-checking oql queries in the odmg type systems,s alagic,acm trans . database syst .,1999,COL title VAL type-checking oql queries in the odmg type systems COL authors VAL s alagic COL venue VAL acm trans . database syst . COL year VAL 1999
2370,the sift information dissemination system,"t yan , h garcia-molina",acm trans . database syst .,1999,"COL title VAL the sift information dissemination system COL authors VAL t yan , h garcia-molina COL venue VAL acm trans . database syst . COL year VAL 1999"
2371,an ontological analysis of the relationship construct in conceptual modeling,"y wand , v storey , r weber",acm trans . database syst .,1999,"COL title VAL an ontological analysis of the relationship construct in conceptual modeling COL authors VAL y wand , v storey , r weber COL venue VAL acm trans . database syst . COL year VAL 1999"
2372,distance browsing in spatial databases,"g hjaltason , h samet",acm trans . database syst .,1999,"COL title VAL distance browsing in spatial databases COL authors VAL g hjaltason , h samet COL venue VAL acm trans . database syst . COL year VAL 1999"
2373,gloss : text-source discovery over the internet,"l gravano , h garcia-molina , a tomasic",acm trans . database syst .,1999,"COL title VAL gloss : text-source discovery over the internet COL authors VAL l gravano , h garcia-molina , a tomasic COL venue VAL acm trans . database syst . COL year VAL 1999"
2374,optimization of queries with user-defined predicates,"s chaudhuri , k shim",acm trans . database syst .,1999,"COL title VAL optimization of queries with user-defined predicates COL authors VAL s chaudhuri , k shim COL venue VAL acm trans . database syst . COL year VAL 1999"
2375,specification and implementation of exceptions in workflow management systems,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst .,1999,"COL title VAL specification and implementation of exceptions in workflow management systems COL authors VAL f casati , s ceri , s paraboschi , g pozzi COL venue VAL acm trans . database syst . COL year VAL 1999"
2376,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,"g aslan , d mcleod",vldb j.,1999,"COL title VAL semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution COL authors VAL g aslan , d mcleod COL venue VAL vldb j. COL year VAL 1999"
2377,mil primitives for querying a fragmented world,"p boncz , m kersten",vldb j.,1999,"COL title VAL mil primitives for querying a fragmented world COL authors VAL p boncz , m kersten COL venue VAL vldb j. COL year VAL 1999"
2378,the intrinsic problems of structural heterogeneity and an approach to their solution,"t hфrder , g sauter , j thomas",vldb j.,1999,"COL title VAL the intrinsic problems of structural heterogeneity and an approach to their solution COL authors VAL t hфrder , g sauter , j thomas COL venue VAL vldb j. COL year VAL 1999"
2379,fast joins using join indices,"z li , k ross",vldb j.,1999,"COL title VAL fast joins using join indices COL authors VAL z li , k ross COL venue VAL vldb j. COL year VAL 1999"
2380,optimizing multiple dimensional queries simultaneously in multidimensional databases,"w liang , m orlowska , j yu",vldb j.,2000,"COL title VAL optimizing multiple dimensional queries simultaneously in multidimensional databases COL authors VAL w liang , m orlowska , j yu COL venue VAL vldb j. COL year VAL 2000"
2381,update propagation strategies to improve freshness in lazy master replicated databases,"e pacitti , e simon",vldb j.,2000,"COL title VAL update propagation strategies to improve freshness in lazy master replicated databases COL authors VAL e pacitti , e simon COL venue VAL vldb j. COL year VAL 2000"
2382,efficient support for interactive service in multi-resolution vod systems,"k law , j lui , l golubchik",vldb j.,1999,"COL title VAL efficient support for interactive service in multi-resolution vod systems COL authors VAL k law , j lui , l golubchik COL venue VAL vldb j. COL year VAL 1999"
2383,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,"COL title VAL deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis COL authors VAL n krivokapic , a kemper , e gudes COL venue VAL vldb j. COL year VAL 1999"
2384,on periodic resource scheduling for continuous-media databases,"m garofalakis , b жzden , a silberschatz",vldb j.,1998,"COL title VAL on periodic resource scheduling for continuous-media databases COL authors VAL m garofalakis , b жzden , a silberschatz COL venue VAL vldb j. COL year VAL 1998"
2385,introduction ( special issue on multimedia databases ),"m жzsu , s christodoulakis",vldb j.,1998,"COL title VAL introduction ( special issue on multimedia databases ) COL authors VAL m жzsu , s christodoulakis COL venue VAL vldb j. COL year VAL 1998"
2386,optimal clip ordering for multi-clip queries,"r ng , p shum",vldb j.,1998,"COL title VAL optimal clip ordering for multi-clip queries COL authors VAL r ng , p shum COL venue VAL vldb j. COL year VAL 1998"
2387,spatial and temporal content-based access to hypervideo databases,"h jiang , a elmagarmid",vldb j.,1998,"COL title VAL spatial and temporal content-based access to hypervideo databases COL authors VAL h jiang , a elmagarmid COL venue VAL vldb j. COL year VAL 1998"
2388,opt + + : an object-oriented implementation for extensible database query optimization,"n kabra , d dewitt",vldb j.,1999,"COL title VAL opt + + : an object-oriented implementation for extensible database query optimization COL authors VAL n kabra , d dewitt COL venue VAL vldb j. COL year VAL 1999"
2389,constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data,"y huang , j ding , s tsao",vldb j.,1999,"COL title VAL constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data COL authors VAL y huang , j ding , s tsao COL venue VAL vldb j. COL year VAL 1999"
2390,delivering presentations from multimedia servers,"n balkir , g жzsoyoglu",vldb j.,1998,"COL title VAL delivering presentations from multimedia servers COL authors VAL n balkir , g жzsoyoglu COL venue VAL vldb j. COL year VAL 1998"
2391,approximate similarity retrieval with m-trees,"p zezula , p savino , g amato , f rabitti",vldb j.,1998,"COL title VAL approximate similarity retrieval with m-trees COL authors VAL p zezula , p savino , g amato , f rabitti COL venue VAL vldb j. COL year VAL 1998"
2392,semantic caching of web queries,"b chidlovskii , u borghoff",vldb j.,2000,"COL title VAL semantic caching of web queries COL authors VAL b chidlovskii , u borghoff COL venue VAL vldb j. COL year VAL 2000"
2393,learning response time for websources using query feedback and application in query optimization,"j gruser , l raschid , v zadorozhny , t zhan",vldb j.,2000,"COL title VAL learning response time for websources using query feedback and application in query optimization COL authors VAL j gruser , l raschid , v zadorozhny , t zhan COL venue VAL vldb j. COL year VAL 2000"
2394,unql : a query language and algebra for semistructured data based on structural recursion,"p buneman , m fernandez , d suciu",vldb j.,2000,"COL title VAL unql : a query language and algebra for semistructured data based on structural recursion COL authors VAL p buneman , m fernandez , d suciu COL venue VAL vldb j. COL year VAL 2000"
2395,functional-join processing,"r braumandl , j clauпen , a kemper , d kossmann",vldb j.,2000,"COL title VAL functional-join processing COL authors VAL r braumandl , j clauпen , a kemper , d kossmann COL venue VAL vldb j. COL year VAL 2000"
2396,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,"COL title VAL view management in multimedia databases COL authors VAL k candan , e lemar , v subrahmanian COL venue VAL vldb j. COL year VAL 2000"
2397,declarative specification of web sites with strudel,"m fernandez , d florescu , a levy , d suciu",vldb j.,2000,"COL title VAL declarative specification of web sites with strudel COL authors VAL m fernandez , d florescu , a levy , d suciu COL venue VAL vldb j. COL year VAL 2000"
2398,analysis of navigation behaviour in web sites integrating multiple information systems,"b berendt , m spiliopoulou",vldb j.,2000,"COL title VAL analysis of navigation behaviour in web sites integrating multiple information systems COL authors VAL b berendt , m spiliopoulou COL venue VAL vldb j. COL year VAL 2000"
2399,guest editorial : databases and the web,,,2000,COL title VAL guest editorial : databases and the web COL authors VAL  COL venue VAL  COL year VAL 2000
2400,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,"COL title VAL secure bufering in firm real-time database systems COL authors VAL b george , j haritsa COL venue VAL vldb j. COL year VAL 2000"
2401,the lham log-structured history data access method,"p muth , p o'neil , a pick , g weikum",vldb j.,2000,"COL title VAL the lham log-structured history data access method COL authors VAL p muth , p o'neil , a pick , g weikum COL venue VAL vldb j. COL year VAL 2000"
2402,quantifiable data mining using ratio rules,"f korn , a labrinidis , y kotidis , c faloutsos",vldb j.,2000,"COL title VAL quantifiable data mining using ratio rules COL authors VAL f korn , a labrinidis , y kotidis , c faloutsos COL venue VAL vldb j. COL year VAL 2000"
2403,wavecluster : a wavelet based clustering approach for spatial data in very large databases,"g sheikholeslami , s chatterjee , a zhang",vldb j.,2000,"COL title VAL wavecluster : a wavelet based clustering approach for spatial data in very large databases COL authors VAL g sheikholeslami , s chatterjee , a zhang COL venue VAL vldb j. COL year VAL 2000"
2404,clustering categorical data : an approach based on dynamical systems,"d gibson , j kleinberg , p raghavan",vldb j.,2000,"COL title VAL clustering categorical data : an approach based on dynamical systems COL authors VAL d gibson , j kleinberg , p raghavan COL venue VAL vldb j. COL year VAL 2000"
2405,distance-based outliers : algorithms and applications,"e knorr , r ng , v tucakov",vldb j.,2000,"COL title VAL distance-based outliers : algorithms and applications COL authors VAL e knorr , r ng , v tucakov COL venue VAL vldb j. COL year VAL 2000"
2406,effective timestamping in databases,"k torp , c jensen , r snodgrass",vldb j.,2000,"COL title VAL effective timestamping in databases COL authors VAL k torp , c jensen , r snodgrass COL venue VAL vldb j. COL year VAL 2000"
2407,foreword by the vldb '98 pc chairmen : best papers of vldb '98,,,2000,COL title VAL foreword by the vldb '98 pc chairmen : best papers of vldb '98 COL authors VAL  COL venue VAL  COL year VAL 2000
2408,seeking the truth about ad hoc join costs,"l haas , m carey , m livny , a shukla",vldb j.,1997,"COL title VAL seeking the truth about ad hoc join costs COL authors VAL l haas , m carey , m livny , a shukla COL venue VAL vldb j. COL year VAL 1997"
2409,synchronization and recovery in a client-server storage system,"e panagos , a biliris",vldb j.,1997,"COL title VAL synchronization and recovery in a client-server storage system COL authors VAL e panagos , a biliris COL venue VAL vldb j. COL year VAL 1997"
2410,the impact of technology on commercial transaction processing,e cobb,vldb j.,1997,COL title VAL the impact of technology on commercial transaction processing COL authors VAL e cobb COL venue VAL vldb j. COL year VAL 1997
2411,concurrency and recovery for index trees,"d lomet , b salzberg",vldb j.,1997,"COL title VAL concurrency and recovery for index trees COL authors VAL d lomet , b salzberg COL venue VAL vldb j. COL year VAL 1997"
2412,heuristic and randomized optimization for the join ordering problem,"m steinbrunn , g moerkotte , a kemper",vldb j.,1997,"COL title VAL heuristic and randomized optimization for the join ordering problem COL authors VAL m steinbrunn , g moerkotte , a kemper COL venue VAL vldb j. COL year VAL 1997"
2413,using extended feature objects for partial similarity retrieval,"s berchtold , d keim , h kriegel",vldb j.,1997,"COL title VAL using extended feature objects for partial similarity retrieval COL authors VAL s berchtold , d keim , h kriegel COL venue VAL vldb j. COL year VAL 1997"
2414,a configrable type hierarchy index for oodb,"t mќck , m polaschek",vldb j.,1997,"COL title VAL a configrable type hierarchy index for oodb COL authors VAL t mќck , m polaschek COL venue VAL vldb j. COL year VAL 1997"
2415,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"k bіhm , k aberer , e neuhold , x yang",vldb j.,1997,"COL title VAL structured document storage and refined declarative and navigational access mechanisms in hyperstorm COL authors VAL k bіhm , k aberer , e neuhold , x yang COL venue VAL vldb j. COL year VAL 1997"
2416,analysis of locking behavior in three real database systems,"v singhal , a smith",vldb j.,1997,"COL title VAL analysis of locking behavior in three real database systems COL authors VAL v singhal , a smith COL venue VAL vldb j. COL year VAL 1997"
2417,dictionary-based order-preserving string compression,g antoshenkov,vldb j.,1997,COL title VAL dictionary-based order-preserving string compression COL authors VAL g antoshenkov COL venue VAL vldb j. COL year VAL 1997
2418,parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,1997,"COL title VAL parametric query optimization COL authors VAL y ioannidis , r ng , k shim , t sellis COL venue VAL vldb j. COL year VAL 1997"
2419,on applying hash filters to improving the execution of multi-join queries,"m chen , h hsiao , p yu",vldb j.,1997,"COL title VAL on applying hash filters to improving the execution of multi-join queries COL authors VAL m chen , h hsiao , p yu COL venue VAL vldb j. COL year VAL 1997"
2420,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,"COL title VAL concurrency control in hierarchical multidatabase systems COL authors VAL s mehrotra , h korth , a silberschatz COL venue VAL vldb j. COL year VAL 1997"
2421,graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff",vldb j.,1997,"COL title VAL graphical interaction with heterogeneous databases COL authors VAL t catarci , g santucci , j cardiff COL venue VAL vldb j. COL year VAL 1997"
2422,a database model for object dynamics,"m papazoglou , b krфmer",vldb j.,1997,"COL title VAL a database model for object dynamics COL authors VAL m papazoglou , b krфmer COL venue VAL vldb j. COL year VAL 1997"
2423,erratum : a database model for object dynamics,"m papazoglou , b krфmer",vldb j.,1997,"COL title VAL erratum : a database model for object dynamics COL authors VAL m papazoglou , b krфmer COL venue VAL vldb j. COL year VAL 1997"
2424,a logical view of structured files,"s abiteboul , s cluet , t milo",vldb j.,1998,"COL title VAL a logical view of structured files COL authors VAL s abiteboul , s cluet , t milo COL venue VAL vldb j. COL year VAL 1998"
2425,fast image retrieval using color-spatial information,"b ooi , k tan , t chua , w hsu",vldb j.,1998,"COL title VAL fast image retrieval using color-spatial information COL authors VAL b ooi , k tan , t chua , w hsu COL venue VAL vldb j. COL year VAL 1998"
2426,"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies","s chakrabarti , b dom , r agrawal , p raghavan",vldb j.,1998,"COL title VAL scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies COL authors VAL s chakrabarti , b dom , r agrawal , p raghavan COL venue VAL vldb j. COL year VAL 1998"
2427,integrating reliable memory in databases,"w ng , p chen",vldb j.,1998,"COL title VAL integrating reliable memory in databases COL authors VAL w ng , p chen COL venue VAL vldb j. COL year VAL 1998"
2428,garbage collection in object-oriented databases using transactional cyclic reference counting,"p roy , s seshadri , a silberschatz , s sudarshan , s ashwin",vldb j.,1998,"COL title VAL garbage collection in object-oriented databases using transactional cyclic reference counting COL authors VAL p roy , s seshadri , a silberschatz , s sudarshan , s ashwin COL venue VAL vldb j. COL year VAL 1998"
2429,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,"a kraiss , g weikum",vldb j.,1998,"COL title VAL integrated document caching and prefetching in storage hierarchies based on markov-chain predictions COL authors VAL a kraiss , g weikum COL venue VAL vldb j. COL year VAL 1998"
2430,integrating symbolic images into a multimedia database system using classification and abstraction approaches,"a soffer , h samet",vldb j.,1998,"COL title VAL integrating symbolic images into a multimedia database system using classification and abstraction approaches COL authors VAL a soffer , h samet COL venue VAL vldb j. COL year VAL 1998"
2431,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998,COL title VAL enhanced abstract data types in object-relational databases COL authors VAL p seshadri COL venue VAL vldb j. COL year VAL 1998
2432,exact : an extensible approach to active object-oriented databases,"o dэaz , a jaime",vldb j.,1997,"COL title VAL exact : an extensible approach to active object-oriented databases COL authors VAL o dэaz , a jaime COL venue VAL vldb j. COL year VAL 1997"
2433,query processing over object views of relational data,"g fahl , t risch",vldb j.,1997,"COL title VAL query processing over object views of relational data COL authors VAL g fahl , t risch COL venue VAL vldb j. COL year VAL 1997"
2434,"optimizing relational queries in connection hypergraphs : nested queries , views , and binding propagations",j han,vldb j.,1998,"COL title VAL optimizing relational queries in connection hypergraphs : nested queries , views , and binding propagations COL authors VAL j han COL venue VAL vldb j. COL year VAL 1998"
2435,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold",vldb j.,1998,"COL title VAL the oodb path-method generator ( pmg ) using access weights and precomputed access relevance COL authors VAL a mehta , j geller , y perl , e neuhold COL venue VAL vldb j. COL year VAL 1998"
2436,a flexible and recoverable client/server database event notification system,"e hanson , i chen , r dastur , k engel , v ramaswamy , w tan , c xu",vldb j.,1998,"COL title VAL a flexible and recoverable client/server database event notification system COL authors VAL e hanson , i chen , r dastur , k engel , v ramaswamy , w tan , c xu COL venue VAL vldb j. COL year VAL 1998"
2437,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,"COL title VAL data partitioning and load balancing in parallel disk systems COL authors VAL p scheuermann , g weikum , p zabback COL venue VAL vldb j. COL year VAL 1998"
2438,maintenance of implication integrity constraints under updates to constraints,"n ishakbeyoglu , z жzsoyoglu",vldb j.,1998,"COL title VAL maintenance of implication integrity constraints under updates to constraints COL authors VAL n ishakbeyoglu , z жzsoyoglu COL venue VAL vldb j. COL year VAL 1998"
2439,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues","s deпloch , t hфrder , n mattos , b mitschang , j thomas",vldb j.,1998,"COL title VAL advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues COL authors VAL s deпloch , t hфrder , n mattos , b mitschang , j thomas COL venue VAL vldb j. COL year VAL 1998"
2440,data page layouts for relational databases on deep memory hierarchies,"a ailamaki , d dewitt , m hill",vldb j.,2002,"COL title VAL data page layouts for relational databases on deep memory hierarchies COL authors VAL a ailamaki , d dewitt , m hill COL venue VAL vldb j. COL year VAL 2002"
2441,database indexing for large dna and protein sequence collections,"e hunt , m atkinson , r irving",vldb j.,2002,"COL title VAL database indexing for large dna and protein sequence collections COL authors VAL e hunt , m atkinson , r irving COL venue VAL vldb j. COL year VAL 2002"
2442,views in a large-scale xml repository,"v aguilera , s cluet , t milo , p veltri , d vodislav",vldb j.,2002,"COL title VAL views in a large-scale xml repository COL authors VAL v aguilera , s cluet , t milo , p veltri , d vodislav COL venue VAL vldb j. COL year VAL 2002"
2443,editorial,,,2002,COL title VAL editorial COL authors VAL  COL venue VAL  COL year VAL 2002
2444,a template model for multidimensional inter-transactional association rules,"l feng , j yu , h lu , j han",vldb j.,2002,"COL title VAL a template model for multidimensional inter-transactional association rules COL authors VAL l feng , j yu , h lu , j han COL venue VAL vldb j. COL year VAL 2002"
2445,efficient similarity search for market basket data,"a nanopoulos , y manolopoulos",vldb j.,2002,"COL title VAL efficient similarity search for market basket data COL authors VAL a nanopoulos , y manolopoulos COL venue VAL vldb j. COL year VAL 2002"
2446,speeding up construction of pmr quadtree-based spatial indexes,"g hjaltason , h samet",vldb j.,2002,"COL title VAL speeding up construction of pmr quadtree-based spatial indexes COL authors VAL g hjaltason , h samet COL venue VAL vldb j. COL year VAL 2002"
2447,spatial indexing of high-dimensional data based on relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb j.,2002,"COL title VAL spatial indexing of high-dimensional data based on relative approximation COL authors VAL y sakurai , m yoshikawa , s uemura , h kojima COL venue VAL vldb j. COL year VAL 2002"
2448,an authorization system for digital libraries,"e ferrari , n adam , v atluri , e bertino , u capuozzo",vldb j.,2002,"COL title VAL an authorization system for digital libraries COL authors VAL e ferrari , n adam , v atluri , e bertino , u capuozzo COL venue VAL vldb j. COL year VAL 2002"
2449,efficient retrieval of similar shapes,"d rafiei , a mendelzon",vldb j.,2002,"COL title VAL efficient retrieval of similar shapes COL authors VAL d rafiei , a mendelzon COL venue VAL vldb j. COL year VAL 2002"
2450,searching in metric spaces by spatial approximation,g navarro,vldb j.,2002,COL title VAL searching in metric spaces by spatial approximation COL authors VAL g navarro COL venue VAL vldb j. COL year VAL 2002
2451,indexing of now-relative spatio-bitemporal data,"s saltenis , c jensen",vldb j.,2002,"COL title VAL indexing of now-relative spatio-bitemporal data COL authors VAL s saltenis , c jensen COL venue VAL vldb j. COL year VAL 2002"
2452,query processing techniques for arrays,"a marathe , k salem",vldb j.,2002,"COL title VAL query processing techniques for arrays COL authors VAL a marathe , k salem COL venue VAL vldb j. COL year VAL 2002"
2453,locating and accessing data repositories with websemantics,"g mihaila , l raschid , a tomasic",vldb j.,2002,"COL title VAL locating and accessing data repositories with websemantics COL authors VAL g mihaila , l raschid , a tomasic COL venue VAL vldb j. COL year VAL 2002"
2454,global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,"COL title VAL global transaction support for workflow management systems : from formal specification to practical implementation COL authors VAL p grefen , j vonk , p apers COL venue VAL vldb j. COL year VAL 2001"
2455,answering queries using views : a survey,a halevy,vldb j.,2001,COL title VAL answering queries using views : a survey COL authors VAL a halevy COL venue VAL vldb j. COL year VAL 2001
2456,psoup : a system for streaming queries over streaming data,"s chandrasekaran , m franklin",vldb j.,2003,"COL title VAL psoup : a system for streaming queries over streaming data COL authors VAL s chandrasekaran , m franklin COL venue VAL vldb j. COL year VAL 2003"
2457,"watermarking relational data : framework , algorithms and analysis","r agrawal , p haas , j kiernan",vldb j.,2003,"COL title VAL watermarking relational data : framework , algorithms and analysis COL authors VAL r agrawal , p haas , j kiernan COL venue VAL vldb j. COL year VAL 2003"
2458,complex relationships and knowledge discovery support in the infoquilt system,"a sheth , s thacker , s patel",vldb j.,2003,"COL title VAL complex relationships and knowledge discovery support in the infoquilt system COL authors VAL a sheth , s thacker , s patel COL venue VAL vldb j. COL year VAL 2003"
2459,a bayesian decision model for cost optimal record matching,"v verykios , g moustakides , m elfeky",vldb j.,2003,"COL title VAL a bayesian decision model for cost optimal record matching COL authors VAL v verykios , g moustakides , m elfeky COL venue VAL vldb j. COL year VAL 2003"
2460,business-to-business interactions : issues and enabling technologies,"b medjahed , b benatallah , a bouguettaya , a ngu , a elmagarmid",vldb j.,2003,"COL title VAL business-to-business interactions : issues and enabling technologies COL authors VAL b medjahed , b benatallah , a bouguettaya , a ngu , a elmagarmid COL venue VAL vldb j. COL year VAL 2003"
2461,new partnership with acm and update on the journal,m жzsu,vldb j.,2003,COL title VAL new partnership with acm and update on the journal COL authors VAL m жzsu COL venue VAL vldb j. COL year VAL 2003
2462,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003,"COL title VAL lineage tracing for general data warehouse transformations COL authors VAL y cui , j widom COL venue VAL vldb j. COL year VAL 2003"
2463,efficient schemes for managing multiversionxml documents,"s chien , v tsotras , c zaniolo",vldb j.,2002,"COL title VAL efficient schemes for managing multiversionxml documents COL authors VAL s chien , v tsotras , c zaniolo COL venue VAL vldb j. COL year VAL 2002"
2464,efficient filtering of xml documents with xpath expressions,"c chan , p felber , m garofalakis , r rastogi",vldb j.,2002,"COL title VAL efficient filtering of xml documents with xpath expressions COL authors VAL c chan , p felber , m garofalakis , r rastogi COL venue VAL vldb j. COL year VAL 2002"
2465,an xml query engine for network-bound data,"z ives , a halevy , d weld",vldb j.,2002,"COL title VAL an xml query engine for network-bound data COL authors VAL z ives , a halevy , d weld COL venue VAL vldb j. COL year VAL 2002"
2466,guest editorial,,,2002,COL title VAL guest editorial COL authors VAL  COL venue VAL  COL year VAL 2002
2467,timber : a native xml database,"h jagadish , s al-khalifa , a chapman , l lakshmanan , a nierman , s paparizos , j patel , d srivastava , n wiwatwattana , y wu , c yu",vldb j.,2002,"COL title VAL timber : a native xml database COL authors VAL h jagadish , s al-khalifa , a chapman , l lakshmanan , a nierman , s paparizos , j patel , d srivastava , n wiwatwattana , y wu , c yu COL venue VAL vldb j. COL year VAL 2002"
2468,anatomy of a native xml base management system,"t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann",vldb j.,2002,"COL title VAL anatomy of a native xml base management system COL authors VAL t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann COL venue VAL vldb j. COL year VAL 2002"
2469,tree pattern query minimization,"s amer-yahia , s cho , l lakshmanan , d srivastava",vldb j.,2002,"COL title VAL tree pattern query minimization COL authors VAL s amer-yahia , s cho , l lakshmanan , d srivastava COL venue VAL vldb j. COL year VAL 2002"
2470,energy-performance trade-offs for spatial access methods on memory-resident data,"n an , s gurumurthi , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin",vldb j.,2002,"COL title VAL energy-performance trade-offs for spatial access methods on memory-resident data COL authors VAL n an , s gurumurthi , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin COL venue VAL vldb j. COL year VAL 2002"
2471,a formal perspective on the view selection problem,"r chirkova , a halevy , d suciu",vldb j.,2002,"COL title VAL a formal perspective on the view selection problem COL authors VAL r chirkova , a halevy , d suciu COL venue VAL vldb j. COL year VAL 2002"
2472,a graph-theoretic model for optimizing queries involving methods,"c lee , c shih , y chen",vldb j.,2001,"COL title VAL a graph-theoretic model for optimizing queries involving methods COL authors VAL c lee , c shih , y chen COL venue VAL vldb j. COL year VAL 2001"
2473,combining multi-visual features for efficient indexing in a large image database,"a ngu , q sheng , d huynh , r lei",vldb j.,2001,"COL title VAL combining multi-visual features for efficient indexing in a large image database COL authors VAL a ngu , q sheng , d huynh , r lei COL venue VAL vldb j. COL year VAL 2001"
2474,xml-enabled workflow management for e-services across heterogeneous platforms,"g shegalov , m gillmann , g weikum",vldb j.,2001,"COL title VAL xml-enabled workflow management for e-services across heterogeneous platforms COL authors VAL g shegalov , m gillmann , g weikum COL venue VAL vldb j. COL year VAL 2001"
2475,objectglobe : ubiquitous query processing on the internet,"r braumandl , m keidl , a kemper , d kossmann , a kreutz , s seltzsam , k stocker",vldb j.,2001,"COL title VAL objectglobe : ubiquitous query processing on the internet COL authors VAL r braumandl , m keidl , a kemper , d kossmann , a kreutz , s seltzsam , k stocker COL venue VAL vldb j. COL year VAL 2001"
2476,context-based prefetch - an optimization for implementing objects on relations,"p bernstein , s pal , d shutt",vldb j.,2000,"COL title VAL context-based prefetch - an optimization for implementing objects on relations COL authors VAL p bernstein , s pal , d shutt COL venue VAL vldb j. COL year VAL 2000"
2477,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"c wang , x wang",vldb j.,2001,"COL title VAL indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches COL authors VAL c wang , x wang COL venue VAL vldb j. COL year VAL 2001"
2478,supporting efficient multimedia database exploration,"w li , k candan , k hirata , y hara",vldb j.,2001,"COL title VAL supporting efficient multimedia database exploration COL authors VAL w li , k candan , k hirata , y hara COL venue VAL vldb j. COL year VAL 2001"
